sample	drug_raw	drug	dose	exp	run	replicate	condition	is_control	is_timezero
Olapar1_020u_exp200921_run111021_33	Olapar1	Olapar	020u	exp200921	run111021	1	Olapar_020u	False	False
Olapar2_020u_exp200921_run111021_34	Olapar2	Olapar	020u	exp200921	run111021	2	Olapar_020u	False	False
Olapar3_020u_exp200921_run111021_35	Olapar3	Olapar	020u	exp200921	run111021	3	Olapar_020u	False	False
Olapar4_020u_exp200921_run111021_36	Olapar4	Olapar	020u	exp200921	run111021	4	Olapar_020u	False	False
LGK9741_005u_exp200921_run111021_37	LGK9741	LGK974	005u	exp200921	run111021	1	LGK974_005u	False	False
LGK9742_005u_exp200921_run111021_38	LGK9742	LGK974	005u	exp200921	run111021	2	LGK974_005u	False	False
LGK9743_005u_exp200921_run111021_39	LGK9743	LGK974	005u	exp200921	run111021	3	LGK974_005u	False	False
LGK9744_005u_exp200921_run111021_40	LGK9744	LGK974	005u	exp200921	run111021	4	LGK974_005u	False	False
Chloro1_040u_exp200921_run111021_41	Chloro1	Chloro	040u	exp200921	run111021	1	Chloro_040u	False	False
Chloro2_040u_exp200921_run111021_42	Chloro2	Chloro	040u	exp200921	run111021	2	Chloro_040u	False	False
Chloro3_040u_exp200921_run111021_43	Chloro3	Chloro	040u	exp200921	run111021	3	Chloro_040u	False	False
Chloro4_040u_exp200921_run111021_44	Chloro4	Chloro	040u	exp200921	run111021	4	Chloro_040u	False	False
Bafilo1_1,2n_exp200921_run111021_45	Bafilo1	Bafilo	1,2n	exp200921	run111021	1	Bafilo_1,2n	False	False
Bafilo2_1,2n_exp200921_run111021_46	Bafilo2	Bafilo	1,2n	exp200921	run111021	2	Bafilo_1,2n	False	False
Bafilo3_1,2n_exp200921_run111021_47	Bafilo3	Bafilo	1,2n	exp200921	run111021	3	Bafilo_1,2n	False	False
Bafilo4_1,2n_exp200921_run111021_48	Bafilo4	Bafilo	1,2n	exp200921	run111021	4	Bafilo_1,2n	False	False
Temps01_000u_exp200921_run101121_01	Temps01	Temps0	000u	exp200921	run101121	1	time0	False	True
Temps02_000u_exp200921_run101121_02	Temps02	Temps0	000u	exp200921	run101121	2	time0	False	True
Osimer1_020n_exp200921_run101121_03	Osimer1	Osimer	020n	exp200921	run101121	1	Osimer_020n	False	False
Osimer2_020n_exp200921_run101121_04	Osimer2	Osimer	020n	exp200921	run101121	2	Osimer_020n	False	False
Osimer3_020n_exp200921_run101121_05	Osimer3	Osimer	020n	exp200921	run101121	3	Osimer_020n	False	False
Osimer4_020n_exp200921_run101121_06	Osimer4	Osimer	020n	exp200921	run101121	4	Osimer_020n	False	False
Osimer1_100n_exp200921_run101121_07	Osimer1	Osimer	100n	exp200921	run101121	1	Osimer_100n	False	False
Osimer2_100n_exp200921_run101121_08	Osimer2	Osimer	100n	exp200921	run101121	2	Osimer_100n	False	False
Osimer3_100n_exp200921_run101121_09	Osimer3	Osimer	100n	exp200921	run101121	3	Osimer_100n	False	False
Osimer4_100n_exp200921_run101121_10	Osimer4	Osimer	100n	exp200921	run101121	4	Osimer_100n	False	False
Osimer1_001u_exp200921_run101121_11	Osimer1	Osimer	001u	exp200921	run101121	1	Osimer_001u	False	False
Osimer2_001u_exp200921_run101121_12	Osimer2	Osimer	001u	exp200921	run101121	2	Osimer_001u	False	False
Osimer3_001u_exp200921_run101121_13	Osimer3	Osimer	001u	exp200921	run101121	3	Osimer_001u	False	False
Osimer4_001u_exp200921_run101121_14	Osimer4	Osimer	001u	exp200921	run101121	4	Osimer_001u	False	False
Osimer1_005u_exp200921_run101121_15	Osimer1	Osimer	005u	exp200921	run101121	1	Osimer_005u	False	False
Osimer2_005u_exp200921_run101121_16	Osimer2	Osimer	005u	exp200921	run101121	2	Osimer_005u	False	False
Osimer3_005u_exp200921_run101121_17	Osimer3	Osimer	005u	exp200921	run101121	3	Osimer_005u	False	False
Osimer4_005u_exp200921_run101121_18	Osimer4	Osimer	005u	exp200921	run101121	4	Osimer_005u	False	False
Temps01_000u_exp130921_run101121_19	Temps01	Temps0	000u	exp130921	run101121	1	time0	False	True
CtrlMs1_000u_exp130921_run101121_20	CtrlMs1	CtrlMs	000u	exp130921	run101121	1	CtrlMs_000u	False	False
CtrlMs2_000u_exp130921_run101121_21	CtrlMs2	CtrlMs	000u	exp130921	run101121	2	CtrlMs_000u	False	False
CtrlMs3_000u_exp130921_run101121_22	CtrlMs3	CtrlMs	000u	exp130921	run101121	3	CtrlMs_000u	False	False
CtrlMs4_000u_exp130921_run101121_23	CtrlMs4	CtrlMs	000u	exp130921	run101121	4	CtrlMs_000u	False	False
CtrlMs5_000u_exp130921_run101121_24	CtrlMs5	CtrlMs	000u	exp130921	run101121	5	CtrlMs_000u	False	False
CtrlMs6_000u_exp130921_run101121_25	CtrlMs6	CtrlMs	000u	exp130921	run101121	6	CtrlMs_000u	False	False
CtrlMs7_000u_exp130921_run101121_26	CtrlMs7	CtrlMs	000u	exp130921	run101121	7	CtrlMs_000u	False	False
CtrlMs8_000u_exp130921_run101121_27	CtrlMs8	CtrlMs	000u	exp130921	run101121	8	CtrlMs_000u	False	False
Osimer1_001g_exp130921_run101121_28	Osimer1	Osimer	001g	exp130921	run101121	1	Osimer_001g	False	False
Osimer2_001g_exp130921_run101121_29	Osimer2	Osimer	001g	exp130921	run101121	2	Osimer_001g	False	False
Osimer3_001g_exp130921_run101121_30	Osimer3	Osimer	001g	exp130921	run101121	3	Osimer_001g	False	False
Osimer4_001g_exp130921_run101121_31	Osimer4	Osimer	001g	exp130921	run101121	4	Osimer_001g	False	False
Osimer5_001g_exp130921_run101121_32	Osimer5	Osimer	001g	exp130921	run101121	5	Osimer_001g	False	False
Osimer6_001g_exp130921_run101121_33	Osimer6	Osimer	001g	exp130921	run101121	6	Osimer_001g	False	False
Osimer7_001g_exp130921_run101121_34	Osimer7	Osimer	001g	exp130921	run101121	7	Osimer_001g	False	False
Osimer8_001g_exp130921_run101121_35	Osimer8	Osimer	001g	exp130921	run101121	8	Osimer_001g	False	False
Temps01_000u_exp181021_run101121_36	Temps01	Temps0	000u	exp181021	run101121	1	time0	False	True
Temps02_000u_exp181021_run101121_37	Temps02	Temps0	000u	exp181021	run101121	2	time0	False	True
Contro1_000u_exp181021_run101121_38	Contro1	Contro	000u	exp181021	run101121	1	control	True	False
Contro2_000u_exp181021_run101121_39	Contro2	Contro	000u	exp181021	run101121	2	control	True	False
Contro3_000u_exp181021_run101121_40	Contro3	Contro	000u	exp181021	run101121	3	control	True	False
Contro4_000u_exp181021_run101121_41	Contro4	Contro	000u	exp181021	run101121	4	control	True	False
X132711_008u_exp181021_run101121_42	X132711	X13271	008u	exp181021	run101121	1	X13271_008u	False	False
X132712_008u_exp181021_run101121_43	X132712	X13271	008u	exp181021	run101121	2	X13271_008u	False	False
X132713_008u_exp181021_run101121_44	X132713	X13271	008u	exp181021	run101121	3	X13271_008u	False	False
X132714_008u_exp181021_run101121_45	X132714	X13271	008u	exp181021	run101121	4	X13271_008u	False	False
X171291_008u_exp181021_run101121_46	X171291	X17129	008u	exp181021	run101121	1	X17129_008u	False	False
X171292_008u_exp181021_run101121_47	X171292	X17129	008u	exp181021	run101121	2	X17129_008u	False	False
X171293_008u_exp181021_run101121_48	X171293	X17129	008u	exp181021	run101121	3	X17129_008u	False	False
Pemetr1_080n_exp181021_run251121_01	Pemetr1	Pemetr	080n	exp181021	run251121	1	Pemetr_080n	False	False
Pemetr2_080n_exp181021_run251121_02	Pemetr2	Pemetr	080n	exp181021	run251121	2	Pemetr_080n	False	False
Pemetr3_080n_exp181021_run251121_03	Pemetr3	Pemetr	080n	exp181021	run251121	3	Pemetr_080n	False	False
Pemetr4_080n_exp181021_run251121_04	Pemetr4	Pemetr	080n	exp181021	run251121	4	Pemetr_080n	False	False
Doxoru1_080n_exp181021_run251121_05	Doxoru1	Doxoru	080n	exp181021	run251121	1	Doxoru_080n	False	False
Doxoru2_080n_exp181021_run251121_06	Doxoru2	Doxoru	080n	exp181021	run251121	2	Doxoru_080n	False	False
Doxoru3_080n_exp181021_run251121_07	Doxoru3	Doxoru	080n	exp181021	run251121	3	Doxoru_080n	False	False
Doxoru4_080n_exp181021_run251121_08	Doxoru4	Doxoru	080n	exp181021	run251121	4	Doxoru_080n	False	False
Cispla1_500n_exp181021_run251121_09	Cispla1	Cispla	500n	exp181021	run251121	1	Cispla_500n	False	False
Cispla2_500n_exp181021_run251121_10	Cispla2	Cispla	500n	exp181021	run251121	2	Cispla_500n	False	False
Cispla3_500n_exp181021_run251121_11	Cispla3	Cispla	500n	exp181021	run251121	3	Cispla_500n	False	False
Cispla4_500n_exp181021_run251121_12	Cispla4	Cispla	500n	exp181021	run251121	4	Cispla_500n	False	False
SBI0201_005u_exp181021_run251121_13	SBI0201	SBI020	005u	exp181021	run251121	1	SBI020_005u	False	False
SBI0202_005u_exp181021_run251121_14	SBI0202	SBI020	005u	exp181021	run251121	2	SBI020_005u	False	False
SBI0203_005u_exp181021_run251121_15	SBI0203	SBI020	005u	exp181021	run251121	3	SBI020_005u	False	False
SBI0204_005u_exp181021_run251121_16	SBI0204	SBI020	005u	exp181021	run251121	4	SBI020_005u	False	False
Spauti1_007u_exp181021_run251121_17	Spauti1	Spauti	007u	exp181021	run251121	1	Spauti_007u	False	False
Spauti2_007u_exp181021_run251121_18	Spauti2	Spauti	007u	exp181021	run251121	2	Spauti_007u	False	False
Spauti3_007u_exp181021_run251121_19	Spauti3	Spauti	007u	exp181021	run251121	3	Spauti_007u	False	False
Spauti4_007u_exp181021_run251121_20	Spauti4	Spauti	007u	exp181021	run251121	4	Spauti_007u	False	False
Tazeme1_040u_exp181021_run251121_21	Tazeme1	Tazeme	040u	exp181021	run251121	1	Tazeme_040u	False	False
Tazeme2_040u_exp181021_run251121_22	Tazeme2	Tazeme	040u	exp181021	run251121	2	Tazeme_040u	False	False
Tazeme3_040u_exp181021_run251121_23	Tazeme3	Tazeme	040u	exp181021	run251121	3	Tazeme_040u	False	False
Tazeme4_040u_exp181021_run251121_24	Tazeme4	Tazeme	040u	exp181021	run251121	4	Tazeme_040u	False	False
phenyl1_002m_exp181021_run251121_25	phenyl1	phenyl	002m	exp181021	run251121	1	phenyl_002m	False	False
phenyl2_002m_exp181021_run251121_26	phenyl2	phenyl	002m	exp181021	run251121	2	phenyl_002m	False	False
phenyl3_002m_exp181021_run251121_27	phenyl3	phenyl	002m	exp181021	run251121	3	phenyl_002m	False	False
phenyl4_002m_exp181021_run251121_28	phenyl4	phenyl	002m	exp181021	run251121	4	phenyl_002m	False	False
Lenvat1_040u_exp181021_run251121_29	Lenvat1	Lenvat	040u	exp181021	run251121	1	Lenvat_040u	False	False
Lenvat2_040u_exp181021_run251121_30	Lenvat2	Lenvat	040u	exp181021	run251121	2	Lenvat_040u	False	False
Lenvat3_040u_exp181021_run251121_31	Lenvat3	Lenvat	040u	exp181021	run251121	3	Lenvat_040u	False	False
Lenvat4_040u_exp181021_run251121_32	Lenvat4	Lenvat	040u	exp181021	run251121	4	Lenvat_040u	False	False
Regora1_010u_exp181021_run251121_33	Regora1	Regora	010u	exp181021	run251121	1	Regora_010u	False	False
Regora2_010u_exp181021_run251121_34	Regora2	Regora	010u	exp181021	run251121	2	Regora_010u	False	False
Regora3_010u_exp181021_run251121_35	Regora3	Regora	010u	exp181021	run251121	3	Regora_010u	False	False
Regora4_010u_exp181021_run251121_36	Regora4	Regora	010u	exp181021	run251121	4	Regora_010u	False	False
Caboza1_010u_exp181021_run251121_37	Caboza1	Caboza	010u	exp181021	run251121	1	Caboza_010u	False	False
Caboza2_010u_exp181021_run251121_38	Caboza2	Caboza	010u	exp181021	run251121	2	Caboza_010u	False	False
Caboza3_010u_exp181021_run251121_39	Caboza3	Caboza	010u	exp181021	run251121	3	Caboza_010u	False	False
